ItemName,RateN,Date,Month,Day,Year,AQty,Area,VoucherType,Total
Coconut Oil 1 Ltr,742.9,1/25/2021,1,25,2021,122,Greater Colombo,Credit Sales-Con,90633.8
Coconut Oil 1 Ltr,740.3,1/26/2021,1,26,2021,84,Greater Colombo,Credit Sales-Con,62185.2
Coconut Oil 1 Ltr,737.7,1/27/2021,1,27,2021,78,Greater Colombo,Credit Sales-Con,57540.6
Coconut Oil 1 Ltr,735.1,1/28/2021,1,28,2021,82,Greater Colombo,Credit Sales-Con,60278.2
Coconut Oil 1 Ltr,732.5,1/29/2021,1,29,2021,127,Greater Colombo,Credit Sales-Con,93027.5
Coconut Oil 1 Ltr,729.9,1/30/2021,1,30,2021,98,Greater Colombo,Credit Sales-Con,71530.2
Coconut Oil 1 Ltr,727.3,1/31/2021,1,31,2021,148,Greater Colombo,Credit Sales-Con,107640.4
Coconut Oil 1 Ltr,724.7,2/1/2021,2,1,2021,125,Greater Colombo,Credit Sales-Con,90587.5
Coconut Oil 1 Ltr,722.1,2/2/2021,2,2,2021,140,Greater Colombo,Credit Sales-Con,101094
Coconut Oil 1 Ltr,719.5,2/3/2021,2,3,2021,167,Greater Colombo,Credit Sales-Con,120156.5
Coconut Oil 1 Ltr,716.9,2/4/2021,2,4,2021,176,Greater Colombo,Credit Sales-Con,126174.4
Coconut Oil 1 Ltr,714.3,2/5/2021,2,5,2021,177,Greater Colombo,Credit Sales-Con,126431.1
Coconut Oil 1 Ltr,711.7,2/6/2021,2,6,2021,160,Greater Colombo,Credit Sales-Con,113872
Coconut Oil 1 Ltr,709.1,2/7/2021,2,7,2021,157,Greater Colombo,Credit Sales-Con,111328.7
Coconut Oil 1 Ltr,706.5,2/8/2021,2,8,2021,148,Greater Colombo,Credit Sales-Con,104562
Coconut Oil 1 Ltr,704.7,2/9/2021,2,9,2021,152,Greater Colombo,Credit Sales-Con,107114.4
Coconut Oil 1 Ltr,706.2,2/10/2021,2,10,2021,125,Greater Colombo,Credit Sales-Con,88275
Coconut Oil 1 Ltr,707.7,2/11/2021,2,11,2021,120,Greater Colombo,Credit Sales-Con,84924
Coconut Oil 1 Ltr,709.2,2/12/2021,2,12,2021,136,Greater Colombo,Credit Sales-Con,96451.2
Coconut Oil 1 Ltr,710.7,2/13/2021,2,13,2021,133,Greater Colombo,Credit Sales-Con,94523.1
Coconut Oil 1 Ltr,712.2,2/14/2021,2,14,2021,127,Greater Colombo,Credit Sales-Con,90449.4
Coconut Oil 1 Ltr,713.7,2/15/2021,2,15,2021,150,Greater Colombo,Credit Sales-Con,107055
Coconut Oil 1 Ltr,715.2,2/16/2021,2,16,2021,155,Greater Colombo,Credit Sales-Con,110856
Coconut Oil 1 Ltr,716.7,2/17/2021,2,17,2021,138,Greater Colombo,Credit Sales-Con,98904.6
Coconut Oil 1 Ltr,718.2,2/18/2021,2,18,2021,166,Greater Colombo,Credit Sales-Con,119221.2
Coconut Oil 1 Ltr,719.7,2/19/2021,2,19,2021,113,Greater Colombo,Credit Sales-Con,81326.1
Coconut Oil 1 Ltr,721.2,2/20/2021,2,20,2021,132,Greater Colombo,Credit Sales-Con,95198.4
Coconut Oil 1 Ltr,722.7,2/21/2021,2,21,2021,122,Greater Colombo,Credit Sales-Con,88169.4
Coconut Oil 1 Ltr,724.2,2/22/2021,2,22,2021,99,Greater Colombo,Credit Sales-Con,71695.8
Coconut Oil 1 Ltr,725.7,2/23/2021,2,23,2021,135,Greater Colombo,Credit Sales-Con,97969.5
Coconut Oil 1 Ltr,727.2,2/24/2021,2,24,2021,134,Greater Colombo,Credit Sales-Con,97444.8
Coconut Oil 1 Ltr,728.7,2/25/2021,2,25,2021,166,Greater Colombo,Credit Sales-Con,120964.2
Coconut Oil 1 Ltr,730.2,2/26/2021,2,26,2021,149,Greater Colombo,Credit Sales-Con,108799.8
Coconut Oil 1 Ltr,731.7,2/27/2021,2,27,2021,116,Greater Colombo,Credit Sales-Con,84877.2
Coconut Oil 1 Ltr,733.2,2/28/2021,2,28,2021,173,Greater Colombo,Credit Sales-Con,126843.6
Coconut Oil 1 Ltr,734.7,3/1/2021,3,1,2021,142,Greater Colombo,Credit Sales-Con,104327.4
Coconut Oil 1 Ltr,736.2,3/2/2021,3,2,2021,129,Greater Colombo,Credit Sales-Con,94969.8
Coconut Oil 1 Ltr,737.7,3/3/2021,3,3,2021,113,Greater Colombo,Credit Sales-Con,83360.1
Coconut Oil 1 Ltr,739.2,3/4/2021,3,4,2021,98,Greater Colombo,Credit Sales-Con,72441.6
Coconut Oil 1 Ltr,740.7,3/5/2021,3,5,2021,110,Greater Colombo,Credit Sales-Con,81477
Coconut Oil 1 Ltr,742.2,3/6/2021,3,6,2021,139,Greater Colombo,Credit Sales-Con,103165.8
Coconut Oil 1 Ltr,743.7,3/7/2021,3,7,2021,155,Greater Colombo,Credit Sales-Con,115273.5
Coconut Oil 1 Ltr,745.2,3/8/2021,3,8,2021,148,Greater Colombo,Credit Sales-Con,110289.6
Coconut Oil 1 Ltr,746.7,3/9/2021,3,9,2021,108,Greater Colombo,Credit Sales-Con,80643.6
Coconut Oil 1 Ltr,748.2,3/10/2021,3,10,2021,95,Greater Colombo,Credit Sales-Con,71079
Coconut Oil 1 Ltr,749.7,3/11/2021,3,11,2021,120,Greater Colombo,Credit Sales-Con,89964
Coconut Oil 1 Ltr,751.2,3/12/2021,3,12,2021,82,Greater Colombo,Credit Sales-Con,61598.4
Coconut Oil 1 Ltr,752.7,3/13/2021,3,13,2021,124,Greater Colombo,Credit Sales-Con,93334.8
Coconut Oil 1 Ltr,754.2,3/14/2021,3,14,2021,114,Greater Colombo,Credit Sales-Con,85978.8
Coconut Oil 1 Ltr,755.7,3/15/2021,3,15,2021,108,Greater Colombo,Credit Sales-Con,81615.6
Coconut Oil 1 Ltr,757.2,3/16/2021,3,16,2021,85,Greater Colombo,Credit Sales-Con,64362
Coconut Oil 1 Ltr,758.7,3/17/2021,3,17,2021,128,Greater Colombo,Credit Sales-Con,97113.6
Coconut Oil 1 Ltr,760.2,3/18/2021,3,18,2021,107,Greater Colombo,Credit Sales-Con,81341.4
Coconut Oil 1 Ltr,761.7,3/19/2021,3,19,2021,94,Greater Colombo,Credit Sales-Con,71599.8
Coconut Oil 1 Ltr,763.2,3/20/2021,3,20,2021,60,Greater Colombo,Credit Sales-Con,45792
Coconut Oil 1 Ltr,764.7,3/21/2021,3,21,2021,117,Greater Colombo,Credit Sales-Con,89469.9
Coconut Oil 1 Ltr,766.2,3/22/2021,3,22,2021,153,Greater Colombo,Credit Sales-Con,117228.6
Coconut Oil 1 Ltr,767.7,3/23/2021,3,23,2021,151,Greater Colombo,Credit Sales-Con,115922.7
Coconut Oil 1 Ltr,769.2,3/24/2021,3,24,2021,108,Greater Colombo,Credit Sales-Con,83073.6
Coconut Oil 1 Ltr,770.7,3/25/2021,3,25,2021,105,Greater Colombo,Credit Sales-Con,80923.5
Coconut Oil 1 Ltr,772.2,3/26/2021,3,26,2021,127,Greater Colombo,Credit Sales-Con,98069.4
Coconut Oil 1 Ltr,773.7,3/27/2021,3,27,2021,97,Greater Colombo,Credit Sales-Con,75048.9
Coconut Oil 1 Ltr,775.2,3/28/2021,3,28,2021,123,Greater Colombo,Credit Sales-Con,95349.6
Coconut Oil 1 Ltr,776.7,3/29/2021,3,29,2021,133,Greater Colombo,Credit Sales-Con,103301.1
Coconut Oil 1 Ltr,778.2,3/30/2021,3,30,2021,142,Greater Colombo,Credit Sales-Con,110504.4
Coconut Oil 1 Ltr,779.7,3/31/2021,3,31,2021,115,Greater Colombo,Credit Sales-Con,89665.5
Coconut Oil 1 Ltr,781.2,4/1/2021,4,1,2021,128,Greater Colombo,Credit Sales-Con,99993.6
Coconut Oil 1 Ltr,782.7,4/2/2021,4,2,2021,108,Greater Colombo,Credit Sales-Con,84531.6
Coconut Oil 1 Ltr,784.2,4/3/2021,4,3,2021,110,Greater Colombo,Credit Sales-Con,86262
Coconut Oil 1 Ltr,785.7,4/4/2021,4,4,2021,128,Greater Colombo,Credit Sales-Con,100569.6
Coconut Oil 1 Ltr,787.2,4/5/2021,4,5,2021,145,Greater Colombo,Credit Sales-Con,114144
Coconut Oil 1 Ltr,788.7,4/6/2021,4,6,2021,162,Greater Colombo,Credit Sales-Con,127769.4
Coconut Oil 1 Ltr,790.2,4/7/2021,4,7,2021,110,Greater Colombo,Credit Sales-Con,86922
Coconut Oil 1 Ltr,791.7,4/8/2021,4,8,2021,179,Greater Colombo,Credit Sales-Con,141714.3
Coconut Oil 1 Ltr,793.2,4/9/2021,4,9,2021,126,Greater Colombo,Credit Sales-Con,99943.2
Coconut Oil 1 Ltr,794.7,4/10/2021,4,10,2021,134,Greater Colombo,Credit Sales-Con,106489.8
Coconut Oil 1 Ltr,796.2,4/11/2021,4,11,2021,112,Greater Colombo,Credit Sales-Con,89174.4
Coconut Oil 1 Ltr,797.7,4/12/2021,4,12,2021,62,Greater Colombo,Credit Sales-Con,49457.4
Coconut Oil 1 Ltr,799.2,4/13/2021,4,13,2021,161,Greater Colombo,Credit Sales-Con,128671.2
Coconut Oil 1 Ltr,800.7,4/14/2021,4,14,2021,156,Greater Colombo,Credit Sales-Con,124909.2
Coconut Oil 1 Ltr,802.2,4/15/2021,4,15,2021,126,Greater Colombo,Credit Sales-Con,101077.2
Coconut Oil 1 Ltr,803.7,4/16/2021,4,16,2021,136,Greater Colombo,Credit Sales-Con,109303.2
Coconut Oil 1 Ltr,805.2,4/17/2021,4,17,2021,150,Greater Colombo,Credit Sales-Con,120780
Coconut Oil 1 Ltr,806.7,4/18/2021,4,18,2021,87,Greater Colombo,Credit Sales-Con,70182.9
Coconut Oil 1 Ltr,808.2,4/19/2021,4,19,2021,118,Greater Colombo,Credit Sales-Con,95367.6
Coconut Oil 1 Ltr,809.7,4/20/2021,4,20,2021,158,Greater Colombo,Credit Sales-Con,127932.6
Coconut Oil 1 Ltr,811.2,4/21/2021,4,21,2021,97,Greater Colombo,Credit Sales-Con,78686.4
Coconut Oil 1 Ltr,812.7,4/22/2021,4,22,2021,143,Greater Colombo,Credit Sales-Con,116216.1
Coconut Oil 1 Ltr,814.2,4/23/2021,4,23,2021,94,Greater Colombo,Credit Sales-Con,76534.8
Coconut Oil 1 Ltr,815.7,4/24/2021,4,24,2021,148,Greater Colombo,Credit Sales-Con,120723.6
Coconut Oil 1 Ltr,817.2,4/25/2021,4,25,2021,133,Greater Colombo,Credit Sales-Con,108687.6
Coconut Oil 1 Ltr,818.7,4/26/2021,4,26,2021,86,Greater Colombo,Credit Sales-Con,70408.2
Coconut Oil 1 Ltr,820.2,4/27/2021,4,27,2021,169,Greater Colombo,Credit Sales-Con,138613.8
Coconut Oil 1 Ltr,821.7,4/28/2021,4,28,2021,112,Greater Colombo,Credit Sales-Con,92030.4
Coconut Oil 1 Ltr,823.2,4/29/2021,4,29,2021,110,Greater Colombo,Credit Sales-Con,90552
Coconut Oil 1 Ltr,824.7,4/30/2021,4,30,2021,140,Greater Colombo,Credit Sales-Con,115458
Coconut Oil 1 Ltr,826.2,5/1/2021,5,1,2021,122,Greater Colombo,Credit Sales-Con,100796.4
Coconut Oil 1 Ltr,827.7,5/2/2021,5,2,2021,79,Greater Colombo,Credit Sales-Con,65388.3
Coconut Oil 1 Ltr,829.2,5/3/2021,5,3,2021,101,Greater Colombo,Credit Sales-Con,83749.2
Coconut Oil 1 Ltr,830.7,5/4/2021,5,4,2021,108,Greater Colombo,Credit Sales-Con,89715.6
Coconut Oil 1 Ltr,832.2,5/5/2021,5,5,2021,113,Greater Colombo,Credit Sales-Con,94038.6
Coconut Oil 1 Ltr,833.7,5/6/2021,5,6,2021,103,Greater Colombo,Credit Sales-Con,85871.1
Coconut Oil 1 Ltr,835.2,5/7/2021,5,7,2021,92,Greater Colombo,Credit Sales-Con,76838.4
Coconut Oil 1 Ltr,836.7,5/8/2021,5,8,2021,83,Greater Colombo,Credit Sales-Con,69446.1
Coconut Oil 1 Ltr,838.2,5/9/2021,5,9,2021,101,Greater Colombo,Credit Sales-Con,84658.2
Coconut Oil 1 Ltr,839.7,5/10/2021,5,10,2021,78,Greater Colombo,Credit Sales-Con,65496.6
Coconut Oil 1 Ltr,841.2,5/11/2021,5,11,2021,41,Greater Colombo,Credit Sales-Con,34489.2
Coconut Oil 1 Ltr,842.7,5/12/2021,5,12,2021,108,Greater Colombo,Credit Sales-Con,91011.6
Coconut Oil 1 Ltr,844.2,5/13/2021,5,13,2021,117,Greater Colombo,Credit Sales-Con,98771.4
Coconut Oil 1 Ltr,845.7,5/14/2021,5,14,2021,52,Greater Colombo,Credit Sales-Con,43976.4
Coconut Oil 1 Ltr,847.2,5/15/2021,5,15,2021,79,Greater Colombo,Credit Sales-Con,66928.8
Coconut Oil 1 Ltr,848.7,5/16/2021,5,16,2021,112,Greater Colombo,Credit Sales-Con,95054.4
Coconut Oil 1 Ltr,850.2,5/17/2021,5,17,2021,141,Greater Colombo,Credit Sales-Con,119878.2
Coconut Oil 1 Ltr,851.7,5/18/2021,5,18,2021,100,Greater Colombo,Credit Sales-Con,85170
Coconut Oil 1 Ltr,853.2,5/19/2021,5,19,2021,85,Greater Colombo,Credit Sales-Con,72522
Coconut Oil 1 Ltr,854.7,5/20/2021,5,20,2021,96,Greater Colombo,Credit Sales-Con,82051.2
Coconut Oil 1 Ltr,856.2,5/21/2021,5,21,2021,127,Greater Colombo,Credit Sales-Con,108737.4
Coconut Oil 1 Ltr,857.7,5/22/2021,5,22,2021,86,Greater Colombo,Credit Sales-Con,73762.2
Coconut Oil 1 Ltr,859.2,5/23/2021,5,23,2021,83,Greater Colombo,Credit Sales-Con,71313.6
Coconut Oil 1 Ltr,860.7,5/24/2021,5,24,2021,90,Greater Colombo,Credit Sales-Con,77463
Coconut Oil 1 Ltr,862.2,5/25/2021,5,25,2021,80,Greater Colombo,Credit Sales-Con,68976
Coconut Oil 1 Ltr,863.7,5/26/2021,5,26,2021,102,Greater Colombo,Credit Sales-Con,88097.4
Coconut Oil 1 Ltr,865.2,5/27/2021,5,27,2021,132,Greater Colombo,Credit Sales-Con,114206.4
Coconut Oil 1 Ltr,866.7,5/28/2021,5,28,2021,106,Greater Colombo,Credit Sales-Con,91870.2
Coconut Oil 1 Ltr,868.2,5/29/2021,5,29,2021,94,Greater Colombo,Credit Sales-Con,81610.8
Coconut Oil 1 Ltr,869.7,5/30/2021,5,30,2021,94,Greater Colombo,Credit Sales-Con,81751.8
Coconut Oil 1 Ltr,871.2,5/31/2021,5,31,2021,68,Greater Colombo,Credit Sales-Con,59241.6
Coconut Oil 1 Ltr,872.7,6/1/2021,6,1,2021,124,Greater Colombo,Credit Sales-Con,108214.8
Coconut Oil 1 Ltr,874.2,6/2/2021,6,2,2021,105,Greater Colombo,Credit Sales-Con,91791
Coconut Oil 1 Ltr,875.7,6/3/2021,6,3,2021,103,Greater Colombo,Credit Sales-Con,90197.1
Coconut Oil 1 Ltr,877.2,6/4/2021,6,4,2021,170,Greater Colombo,Credit Sales-Con,149124
Coconut Oil 1 Ltr,878.7,6/5/2021,6,5,2021,112,Greater Colombo,Credit Sales-Con,98414.4
Coconut Oil 1 Ltr,880.2,6/6/2021,6,6,2021,91,Greater Colombo,Credit Sales-Con,80098.2
Coconut Oil 1 Ltr,881.7,6/7/2021,6,7,2021,98,Greater Colombo,Credit Sales-Con,86406.6
Coconut Oil 1 Ltr,883.2,6/8/2021,6,8,2021,129,Greater Colombo,Credit Sales-Con,113932.8
Coconut Oil 1 Ltr,884.7,6/9/2021,6,9,2021,108,Greater Colombo,Credit Sales-Con,95547.6
Coconut Oil 1 Ltr,886.2,6/10/2021,6,10,2021,77,Greater Colombo,Credit Sales-Con,68237.4
Coconut Oil 1 Ltr,887.7,6/11/2021,6,11,2021,125,Greater Colombo,Credit Sales-Con,110962.5
Coconut Oil 1 Ltr,889.2,6/12/2021,6,12,2021,93,Greater Colombo,Credit Sales-Con,82695.6
Coconut Oil 1 Ltr,890.7,6/13/2021,6,13,2021,144,Greater Colombo,Credit Sales-Con,128260.8
Coconut Oil 1 Ltr,892.2,6/14/2021,6,14,2021,128,Greater Colombo,Credit Sales-Con,114201.6
Coconut Oil 1 Ltr,893.7,6/15/2021,6,15,2021,97,Greater Colombo,Credit Sales-Con,86688.9
Coconut Oil 1 Ltr,895.2,6/16/2021,6,16,2021,132,Greater Colombo,Credit Sales-Con,118166.4
Coconut Oil 1 Ltr,896.7,6/17/2021,6,17,2021,108,Greater Colombo,Credit Sales-Con,96843.6
Coconut Oil 1 Ltr,898.2,6/18/2021,6,18,2021,123,Greater Colombo,Credit Sales-Con,110478.6
Coconut Oil 1 Ltr,899.7,6/19/2021,6,19,2021,116,Greater Colombo,Credit Sales-Con,104365.2
Coconut Oil 1 Ltr,901.2,6/20/2021,6,20,2021,89,Greater Colombo,Credit Sales-Con,80206.8
Coconut Oil 1 Ltr,902.7,6/21/2021,6,21,2021,93,Greater Colombo,Credit Sales-Con,83951.1
Coconut Oil 1 Ltr,904.2,6/22/2021,6,22,2021,127,Greater Colombo,Credit Sales-Con,114833.4
Coconut Oil 1 Ltr,905.7,6/23/2021,6,23,2021,100,Greater Colombo,Credit Sales-Con,90570
Coconut Oil 1 Ltr,907.2,6/24/2021,6,24,2021,98,Greater Colombo,Credit Sales-Con,88905.6
Coconut Oil 1 Ltr,908.7,6/25/2021,6,25,2021,87,Greater Colombo,Credit Sales-Con,79056.9
Coconut Oil 1 Ltr,910.2,6/26/2021,6,26,2021,115,Greater Colombo,Credit Sales-Con,104673
Coconut Oil 1 Ltr,911.7,6/27/2021,6,27,2021,147,Greater Colombo,Credit Sales-Con,134019.9
Coconut Oil 1 Ltr,913.2,6/28/2021,6,28,2021,85,Greater Colombo,Credit Sales-Con,77622
Coconut Oil 1 Ltr,914.7,6/29/2021,6,29,2021,107,Greater Colombo,Credit Sales-Con,97872.9
Coconut Oil 1 Ltr,916.2,6/30/2021,6,30,2021,134,Greater Colombo,Credit Sales-Con,122770.8
Coconut Oil 1 Ltr,917.7,7/1/2021,7,1,2021,86,Greater Colombo,Credit Sales-Con,78922.2
Coconut Oil 1 Ltr,919.2,7/2/2021,7,2,2021,96,Greater Colombo,Credit Sales-Con,88243.2
Coconut Oil 1 Ltr,920.7,7/3/2021,7,3,2021,66,Greater Colombo,Credit Sales-Con,60766.2
Coconut Oil 1 Ltr,922.2,7/4/2021,7,4,2021,96,Greater Colombo,Credit Sales-Con,88531.2
Coconut Oil 1 Ltr,923.7,7/5/2021,7,5,2021,84,Greater Colombo,Credit Sales-Con,77590.8
Coconut Oil 1 Ltr,925.2,7/6/2021,7,6,2021,107,Greater Colombo,Credit Sales-Con,98996.4
Coconut Oil 1 Ltr,926.7,7/7/2021,7,7,2021,111,Greater Colombo,Credit Sales-Con,102863.7
Coconut Oil 1 Ltr,928.2,7/8/2021,7,8,2021,139,Greater Colombo,Credit Sales-Con,129019.8
Coconut Oil 1 Ltr,929.7,7/9/2021,7,9,2021,99,Greater Colombo,Credit Sales-Con,92040.3
Coconut Oil 1 Ltr,931.2,7/10/2021,7,10,2021,94,Greater Colombo,Credit Sales-Con,87532.8
Coconut Oil 1 Ltr,932.7,7/11/2021,7,11,2021,91,Greater Colombo,Credit Sales-Con,84875.7
Coconut Oil 1 Ltr,934.2,7/12/2021,7,12,2021,80,Greater Colombo,Credit Sales-Con,74736
Coconut Oil 1 Ltr,935.7,7/13/2021,7,13,2021,94,Greater Colombo,Credit Sales-Con,87955.8
Coconut Oil 1 Ltr,937.2,7/14/2021,7,14,2021,81,Greater Colombo,Credit Sales-Con,75913.2
Coconut Oil 1 Ltr,938.7,7/15/2021,7,15,2021,91,Greater Colombo,Credit Sales-Con,85421.7
Coconut Oil 1 Ltr,940.2,7/16/2021,7,16,2021,114,Greater Colombo,Credit Sales-Con,107182.8
Coconut Oil 1 Ltr,941.7,7/17/2021,7,17,2021,67,Greater Colombo,Credit Sales-Con,63093.9
Coconut Oil 1 Ltr,943.2,7/18/2021,7,18,2021,110,Greater Colombo,Credit Sales-Con,103752
Coconut Oil 1 Ltr,944.7,7/19/2021,7,19,2021,114,Greater Colombo,Credit Sales-Con,107695.8
Coconut Oil 1 Ltr,946.2,7/20/2021,7,20,2021,85,Greater Colombo,Credit Sales-Con,80427
Coconut Oil 1 Ltr,947.7,7/21/2021,7,21,2021,45,Greater Colombo,Credit Sales-Con,42646.5
Coconut Oil 1 Ltr,949.2,7/22/2021,7,22,2021,75,Greater Colombo,Credit Sales-Con,71190
Coconut Oil 1 Ltr,950.7,7/23/2021,7,23,2021,113,Greater Colombo,Credit Sales-Con,107429.1
Coconut Oil 1 Ltr,952.2,7/24/2021,7,24,2021,87,Greater Colombo,Credit Sales-Con,82841.4
Coconut Oil 1 Ltr,953.7,7/25/2021,7,25,2021,67,Greater Colombo,Credit Sales-Con,63897.9
Coconut Oil 1 Ltr,955.2,7/26/2021,7,26,2021,77,Greater Colombo,Credit Sales-Con,73550.4
Coconut Oil 1 Ltr,956.7,7/27/2021,7,27,2021,104,Greater Colombo,Credit Sales-Con,99496.8
Coconut Oil 1 Ltr,958.2,7/28/2021,7,28,2021,98,Greater Colombo,Credit Sales-Con,93903.6
Coconut Oil 1 Ltr,959.7,7/29/2021,7,29,2021,83,Greater Colombo,Credit Sales-Con,79655.1
Coconut Oil 1 Ltr,961.2,7/30/2021,7,30,2021,80,Greater Colombo,Credit Sales-Con,76896
Coconut Oil 1 Ltr,961.4,7/31/2021,7,31,2021,80,Greater Colombo,Credit Sales-Con,76912
Coconut Oil 1 Ltr,960.9,8/1/2021,8,1,2021,57,Greater Colombo,Credit Sales-Con,54771.3
Coconut Oil 1 Ltr,960.4,8/2/2021,8,2,2021,98,Greater Colombo,Credit Sales-Con,94119.2
Coconut Oil 1 Ltr,959.9,8/3/2021,8,3,2021,67,Greater Colombo,Credit Sales-Con,64313.3
Coconut Oil 1 Ltr,959.4,8/4/2021,8,4,2021,92,Greater Colombo,Credit Sales-Con,88264.8
Coconut Oil 1 Ltr,958.9,8/5/2021,8,5,2021,97,Greater Colombo,Credit Sales-Con,93013.3
Coconut Oil 1 Ltr,958.4,8/6/2021,8,6,2021,88,Greater Colombo,Credit Sales-Con,84339.2
Coconut Oil 1 Ltr,957.9,8/7/2021,8,7,2021,65,Greater Colombo,Credit Sales-Con,62263.5
Coconut Oil 1 Ltr,957.4,8/8/2021,8,8,2021,79,Greater Colombo,Credit Sales-Con,75634.6
Coconut Oil 1 Ltr,956.9,8/9/2021,8,9,2021,72,Greater Colombo,Credit Sales-Con,68896.8
Coconut Oil 1 Ltr,956.4,8/10/2021,8,10,2021,58,Greater Colombo,Credit Sales-Con,55471.2
Coconut Oil 1 Ltr,955.9,8/11/2021,8,11,2021,77,Greater Colombo,Credit Sales-Con,73604.3
Coconut Oil 1 Ltr,955.4,8/12/2021,8,12,2021,53,Greater Colombo,Credit Sales-Con,50636.2
Coconut Oil 1 Ltr,954.9,8/13/2021,8,13,2021,91,Greater Colombo,Credit Sales-Con,86895.9
Coconut Oil 1 Ltr,954.4,8/14/2021,8,14,2021,65,Greater Colombo,Credit Sales-Con,62036
Coconut Oil 1 Ltr,953.9,8/15/2021,8,15,2021,75,Greater Colombo,Credit Sales-Con,71542.5
Coconut Oil 1 Ltr,953.4,8/16/2021,8,16,2021,77,Greater Colombo,Credit Sales-Con,73411.8
Coconut Oil 1 Ltr,952.9,8/17/2021,8,17,2021,68,Greater Colombo,Credit Sales-Con,64797.2
Coconut Oil 1 Ltr,952.4,8/18/2021,8,18,2021,82,Greater Colombo,Credit Sales-Con,78096.8
Coconut Oil 1 Ltr,951.9,8/19/2021,8,19,2021,65,Greater Colombo,Credit Sales-Con,61873.5
Coconut Oil 1 Ltr,951.4,8/20/2021,8,20,2021,86,Greater Colombo,Credit Sales-Con,81820.4
Coconut Oil 1 Ltr,950.9,8/21/2021,8,21,2021,51,Greater Colombo,Credit Sales-Con,48495.9
Coconut Oil 1 Ltr,950.4,8/22/2021,8,22,2021,74,Greater Colombo,Credit Sales-Con,70329.6
Coconut Oil 1 Ltr,949.9,8/23/2021,8,23,2021,103,Greater Colombo,Credit Sales-Con,97839.7
Coconut Oil 1 Ltr,949.4,8/24/2021,8,24,2021,56,Greater Colombo,Credit Sales-Con,53166.4
Coconut Oil 1 Ltr,948.9,8/25/2021,8,25,2021,61,Greater Colombo,Credit Sales-Con,57882.9
Coconut Oil 1 Ltr,948.4,8/26/2021,8,26,2021,80,Greater Colombo,Credit Sales-Con,75872
Coconut Oil 1 Ltr,947.9,8/27/2021,8,27,2021,75,Greater Colombo,Credit Sales-Con,71092.5
Coconut Oil 1 Ltr,947.4,8/28/2021,8,28,2021,78,Greater Colombo,Credit Sales-Con,73897.2
Coconut Oil 1 Ltr,946.9,8/29/2021,8,29,2021,80,Greater Colombo,Credit Sales-Con,75752
